E,n,k,eps1,eps2,elf
51.0,0.92,0.03,0.84,0.06,0.09
51.1,0.92,0.03,0.84,0.06,0.08
51.2,0.92,0.03,0.84,0.06,0.08
51.3,0.92,0.03,0.84,0.06,0.08
51.4,0.92,0.03,0.84,0.06,0.08
51.5,0.92,0.03,0.84,0.06,0.08
51.6,0.92,0.03,0.84,0.06,0.08
51.7,0.92,0.03,0.84,0.06,0.08
51.8,0.92,0.03,0.84,0.06,0.08
51.9,0.92,0.03,0.84,0.06,0.08
52.0,0.92,0.03,0.84,0.05,0.08
52.1,0.92,0.03,0.84,0.05,0.08
52.2,0.92,0.03,0.84,0.05,0.07
52.3,0.92,0.03,0.84,0.05,0.07
52.4,0.92,0.03,0.84,0.05,0.07
52.5,0.92,0.03,0.85,0.05,0.07
52.6,0.92,0.03,0.85,0.05,0.07
52.7,0.92,0.03,0.85,0.05,0.07
52.8,0.92,0.03,0.85,0.05,0.07
52.9,0.92,0.03,0.85,0.05,0.07
53.0,0.92,0.03,0.85,0.05,0.07
53.1,0.92,0.03,0.85,0.05,0.07
53.2,0.92,0.03,0.85,0.05,0.07
53.3,0.92,0.03,0.85,0.05,0.06
53.4,0.92,0.03,0.85,0.05,0.06
53.5,0.92,0.02,0.85,0.05,0.06
53.6,0.92,0.02,0.85,0.05,0.06
53.7,0.92,0.02,0.85,0.04,0.06
53.8,0.92,0.02,0.85,0.04,0.06
53.9,0.92,0.02,0.85,0.04,0.06
54.0,0.92,0.02,0.85,0.04,0.06
54.1,0.92,0.02,0.85,0.04,0.06
54.2,0.92,0.02,0.85,0.04,0.06
54.3,0.93,0.02,0.86,0.04,0.06
54.4,0.93,0.02,0.86,0.04,0.06
54.5,0.93,0.02,0.86,0.04,0.06
54.6,0.93,0.02,0.86,0.04,0.06
54.7,0.93,0.02,0.86,0.04,0.06
54.8,0.93,0.02,0.86,0.04,0.05
54.9,0.93,0.02,0.86,0.04,0.05
55.0,0.93,0.02,0.86,0.04,0.05
55.1,0.93,0.02,0.86,0.04,0.05
55.2,0.93,0.02,0.86,0.04,0.05
55.3,0.93,0.02,0.86,0.04,0.05
55.4,0.93,0.02,0.86,0.04,0.05
55.5,0.93,0.02,0.86,0.04,0.05
55.6,0.93,0.02,0.86,0.04,0.05
55.7,0.93,0.02,0.86,0.04,0.05
55.8,0.93,0.02,0.86,0.04,0.05
55.9,0.93,0.02,0.86,0.04,0.05
56.0,0.93,0.02,0.87,0.04,0.05
56.1,0.93,0.02,0.87,0.04,0.05
56.2,0.93,0.02,0.87,0.04,0.05
56.3,0.93,0.02,0.87,0.04,0.05
56.4,0.93,0.02,0.87,0.03,0.05
56.5,0.93,0.02,0.87,0.03,0.05
56.6,0.93,0.02,0.87,0.03,0.05
56.7,0.93,0.02,0.87,0.03,0.05
56.8,0.93,0.02,0.87,0.03,0.04
56.9,0.93,0.02,0.87,0.03,0.04
57.0,0.93,0.02,0.87,0.03,0.04
57.1,0.93,0.02,0.87,0.03,0.04
57.2,0.93,0.02,0.87,0.03,0.04
57.3,0.93,0.02,0.87,0.03,0.04
57.4,0.93,0.02,0.87,0.03,0.04
57.5,0.93,0.02,0.87,0.03,0.04
57.6,0.93,0.02,0.87,0.03,0.04
57.7,0.94,0.02,0.87,0.03,0.04
57.8,0.94,0.02,0.87,0.03,0.04
57.9,0.94,0.02,0.88,0.03,0.04
